"DSM","PSP","Species","aspect","evi_fall","evi_spring","evi_summer","mndwi_fall","mndwi_spring","mndwi_summer","nbr_fall","nbr_spring","nbr_summer","ndvi_fall","ndvi_spring","ndvi_summer","savi_fall","savi_spring","savi_summer","severity_high","severity_low","severity_moderate","severity_unburned","slope","tcb_fall","tcb_spring","tcb_summer","tcg_fall","tcg_spring","tcg_summer","tcw_fall","tcw_spring","tcw_summer","total_fires","vari_fall","vari_spring","vari_summer","Carbon_gm2","tsf_0_10","tsf_10_20","tsf_20_25","pr","tas","dep2_permafrost","FIRE_SIZE","x","y"
288,10001,"resin birch",302.560845948083,0.264833211898804,0.132748946547508,0.441654920578003,0.479779750108719,0.536842525005341,0.0872052535414695,0.606188356876373,0.663392841815948,0.663958549499512,0.231054559350014,0.203046917915344,0.701000809669495,0.157786577939987,0.0920881852507591,0.386011987924576,1,1,1,1,10.5373949927177,0.398968547582626,0.231490254402161,0.292693048715591,0.0372991785407066,0.0144951567053794,0.142597913742065,0.0118026910349726,0.020273171365261,-0.0466522276401519,0,-0.113211825489998,-0.0225917175412178,-0.159684300422668,457.0092396967,"False","False","False",25.4675006866455,-4.309166431427,18,0.1,-2504012.09043532,6482742.20870275
288,10001,"white spruce",302.560845948083,0.264833211898804,0.132748946547508,0.441654920578003,0.479779750108719,0.536842525005341,0.0872052535414695,0.606188356876373,0.663392841815948,0.663958549499512,0.231054559350014,0.203046917915344,0.701000809669495,0.157786577939987,0.0920881852507591,0.386011987924576,1,1,1,1,10.5373949927177,0.398968547582626,0.231490254402161,0.292693048715591,0.0372991785407066,0.0144951567053794,0.142597913742065,0.0118026910349726,0.020273171365261,-0.0466522276401519,0,-0.113211825489998,-0.0225917175412178,-0.159684300422668,64.5368382414208,"False","False","False",25.4675006866455,-4.309166431427,18,0.1,-2504012.09043532,6482742.20870275
283,10002,"black spruce",298.693685657516,0.24207304418087,0.120626196265221,0.375044643878937,0.550808548927307,0.454619318246841,0.0805515795946121,0.657733500003815,0.580535411834717,0.652556359767914,0.206296280026436,0.221354022622108,0.701396942138672,0.138450890779495,0.0902138575911521,0.351449847221375,1,1,1,1,17.3679646577969,0.382271021604538,0.179396152496338,0.259834468364716,0.0295122377574443,0.0126566160470247,0.119610801339149,0.0275493394583463,0.0084894271567463,-0.0358989536762237,0,-0.0862363204360008,-0.130558341741562,-0.122327119112015,8.32435799982206,"False","False","False",25.4675006866455,-4.309166431427,18,0.1,-2504012.09069701,6482742.20914816
283,10002,"resin birch",298.693685657516,0.24207304418087,0.120626196265221,0.375044643878937,0.550808548927307,0.454619318246841,0.0805515795946121,0.657733500003815,0.580535411834717,0.652556359767914,0.206296280026436,0.221354022622108,0.701396942138672,0.138450890779495,0.0902138575911521,0.351449847221375,1,1,1,1,17.3679646577969,0.382271021604538,0.179396152496338,0.259834468364716,0.0295122377574443,0.0126566160470247,0.119610801339149,0.0275493394583463,0.0084894271567463,-0.0358989536762237,0,-0.0862363204360008,-0.130558341741562,-0.122327119112015,409.298565554542,"False","False","False",25.4675006866455,-4.309166431427,18,0.1,-2504012.09069701,6482742.20914816
283,10002,"white spruce",298.693685657516,0.24207304418087,0.120626196265221,0.375044643878937,0.550808548927307,0.454619318246841,0.0805515795946121,0.657733500003815,0.580535411834717,0.652556359767914,0.206296280026436,0.221354022622108,0.701396942138672,0.138450890779495,0.0902138575911521,0.351449847221375,1,1,1,1,17.3679646577969,0.382271021604538,0.179396152496338,0.259834468364716,0.0295122377574443,0.0126566160470247,0.119610801339149,0.0275493394583463,0.0084894271567463,-0.0358989536762237,0,-0.0862363204360008,-0.130558341741562,-0.122327119112015,39.8775493051141,"False","False","False",25.4675006866455,-4.309166431427,18,0.1,-2504012.09069701,6482742.20914816
282,10003,"black spruce",299.580038602263,0.219407320022583,0.132430791854858,0.341419011354446,0.494831740856171,0.539413392543793,0.134706795215607,0.59424090385437,0.668138563632965,0.654813647270203,0.194308638572693,0.250808447599411,0.638387322425842,0.127180263400078,0.100474387407303,0.32509845495224,1,1,1,1,15.1312137104929,0.373146623373032,0.171095728874206,0.249179437756538,0.0210387036204338,0.0180321056395769,0.110322944819927,0.0187184214591979,0.0136711588129401,-0.0338985510170459,0,-0.116808518767357,-0.131877645850181,-0.109192207455635,0.822370570459427,"False","False","False",24.4941673278809,-2.50000023841858,18,0.1,-2504012.09150419,6482742.20940529
282,10003,"resin birch",299.580038602263,0.219407320022583,0.132430791854858,0.341419011354446,0.494831740856171,0.539413392543793,0.134706795215607,0.59424090385437,0.668138563632965,0.654813647270203,0.194308638572693,0.250808447599411,0.638387322425842,0.127180263400078,0.100474387407303,0.32509845495224,1,1,1,1,15.1312137104929,0.373146623373032,0.171095728874206,0.249179437756538,0.0210387036204338,0.0180321056395769,0.110322944819927,0.0187184214591979,0.0136711588129401,-0.0338985510170459,0,-0.116808518767357,-0.131877645850181,-0.109192207455635,409.283522866222,"False","False","False",24.4941673278809,-2.50000023841858,62,0.1,-2504012.09150419,6482742.20940529
282,10003,"white spruce",299.580038602263,0.219407320022583,0.132430791854858,0.341419011354446,0.494831740856171,0.539413392543793,0.134706795215607,0.59424090385437,0.668138563632965,0.654813647270203,0.194308638572693,0.250808447599411,0.638387322425842,0.127180263400078,0.100474387407303,0.32509845495224,1,1,1,1,15.1312137104929,0.373146623373032,0.171095728874206,0.249179437756538,0.0210387036204338,0.0180321056395769,0.110322944819927,0.0187184214591979,0.0136711588129401,-0.0338985510170459,0,-0.116808518767357,-0.131877645850181,-0.109192207455635,166.955170410911,"False","False","False",24.4941673278809,-2.50000023841858,62,0.1,-2504012.09150419,6482742.20940529
190,10004,"black cottonwood",154.797476658992,0.292018979787826,0.189209207892418,0.349680662155151,0.234042555093765,0.592287003993988,0.0446601063013076,0.742610096931458,0.720918893814087,0.701539993286133,0.705462455749512,0.291303485631943,0.767067551612854,0.279325485229492,0.129587680101395,0.350183069705963,1,1,1,1,5.26798283132891,0.151304721832275,0.191509127616882,0.197636768221855,0.091372512280941,0.02833086065948,0.12172719836235,-0.0114450445398688,0.021601041778922,-0.0288868807256221,0,-0.184503197669983,-0.161236986517906,-0.307630002498627,201.962941407922,"False","False","False",24.4941673278809,-2.50000023841858,62,5.7,-2504010.77984655,6482741.33629393
190,10004,"resin birch",154.797476658992,0.292018979787826,0.189209207892418,0.349680662155151,0.234042555093765,0.592287003993988,0.0446601063013076,0.742610096931458,0.720918893814087,0.701539993286133,0.705462455749512,0.291303485631943,0.767067551612854,0.279325485229492,0.129587680101395,0.350183069705963,1,1,1,1,5.26798283132891,0.151304721832275,0.191509127616882,0.197636768221855,0.091372512280941,0.02833086065948,0.12172719836235,-0.0114450445398688,0.021601041778922,-0.0288868807256221,0,-0.184503197669983,-0.161236986517906,-0.307630002498627,12.0286519367277,"False","False","False",24.4941673278809,-2.50000023841858,62,5.7,-2504010.77984655,6482741.33629393
190,10004,"white spruce",154.797476658992,0.292018979787826,0.189209207892418,0.349680662155151,0.234042555093765,0.592287003993988,0.0446601063013076,0.742610096931458,0.720918893814087,0.701539993286133,0.705462455749512,0.291303485631943,0.767067551612854,0.279325485229492,0.129587680101395,0.350183069705963,1,1,1,1,5.26798283132891,0.151304721832275,0.191509127616882,0.197636768221855,0.091372512280941,0.02833086065948,0.12172719836235,-0.0114450445398688,0.021601041778922,-0.0288868807256221,0,-0.184503197669983,-0.161236986517906,-0.307630002498627,689.684919661696,"False","False","False",24.4941673278809,-2.50000023841858,62,5.7,-2504010.77984655,6482741.33629393
192,10005,"black cottonwood",0,0.29875311255455,0.190719842910767,0.358402490615845,0.214298143982887,0.555769979953766,0.0501977503299713,0.720448195934296,0.641469359397888,0.70153397321701,0.716660678386688,0.294550955295563,0.738106966018677,0.293034344911575,0.145036056637764,0.350117772817612,1,1,1,1,3.81833056085154,0.153905317187309,0.208898738026619,0.201027691364288,0.0972090139985084,0.0372446030378341,0.124879665672779,-0.0146714020520448,0.0170103721320629,-0.0296195726841688,0,-0.190354377031326,-0.0968894064426422,-0.335537642240524,280.722528443834,"False","False","False",24.4941673278809,-2.50000023841858,62,5.7,-2504010.7786449,6482741.33578559
192,10005,"resin birch",0,0.29875311255455,0.190719842910767,0.358402490615845,0.214298143982887,0.555769979953766,0.0501977503299713,0.720448195934296,0.641469359397888,0.70153397321701,0.716660678386688,0.294550955295563,0.738106966018677,0.293034344911575,0.145036056637764,0.350117772817612,1,1,1,1,3.81833056085154,0.153905317187309,0.208898738026619,0.201027691364288,0.0972090139985084,0.0372446030378341,0.124879665672779,-0.0146714020520448,0.0170103721320629,-0.0296195726841688,0,-0.190354377031326,-0.0968894064426422,-0.335537642240524,14.6261942893674,"False","False","False",24.4941673278809,-2.50000023841858,77,5.7,-2504010.7786449,6482741.33578559
192,10005,"white spruce",0,0.29875311255455,0.190719842910767,0.358402490615845,0.214298143982887,0.555769979953766,0.0501977503299713,0.720448195934296,0.641469359397888,0.70153397321701,0.716660678386688,0.294550955295563,0.738106966018677,0.293034344911575,0.145036056637764,0.350117772817612,1,1,1,1,3.81833056085154,0.153905317187309,0.208898738026619,0.201027691364288,0.0972090139985084,0.0372446030378341,0.124879665672779,-0.0146714020520448,0.0170103721320629,-0.0296195726841688,0,-0.190354377031326,-0.0968894064426422,-0.335537642240524,919.832561175738,"False","False","False",24.4941673278809,-2.50000023841858,77,5.7,-2504010.7786449,6482741.33578559
193,10006,"resin birch",180,0.206202745437622,0.152359336614609,0.279366225004196,0.121478207409382,0.603645801544189,0.041526224464178,0.642426550388336,0.769141256809235,0.678445816040039,0.684019327163696,0.291303485631943,0.740444958209991,0.210911616683006,0.129175364971161,0.283050358295441,1,1,1,1,4.76894812669139,0.120137341320515,0.195715337991714,0.163763597607613,0.0597675554454326,0.0308373551815748,0.0915813371539115,-0.0208811946213245,0.028251614421606,-0.0281100235879421,0,-0.359161794185638,-0.0365576334297657,-0.353142261505127,96.3092845808669,"False","False","False",24.4941673278809,-2.50000023841858,77,5.7,-2504010.77847493,6482741.33635303
193,10006,"white spruce",180,0.206202745437622,0.152359336614609,0.279366225004196,0.121478207409382,0.603645801544189,0.041526224464178,0.642426550388336,0.769141256809235,0.678445816040039,0.684019327163696,0.291303485631943,0.740444958209991,0.210911616683006,0.129175364971161,0.283050358295441,1,1,1,1,4.76894812669139,0.120137341320515,0.195715337991714,0.163763597607613,0.0597675554454326,0.0308373551815748,0.0915813371539115,-0.0208811946213245,0.028251614421606,-0.0281100235879421,0,-0.359161794185638,-0.0365576334297657,-0.353142261505127,708.563867236833,"False","False","False",24.4941673278809,-2.50000023841858,77,5.7,-2504010.77847493,6482741.33635303
199,10007,"resin birch",81.9180527440888,0.323399841785431,0.133994147181511,0.55465292930603,0.45411205291748,0.484610140323639,0.27055361866951,0.609051287174225,0.613361418247223,0.697450935840607,0.265769124031067,0.17077873647213,0.629626035690308,0.186034977436066,0.086147129535675,0.412755250930786,1,1,1,1,6.76827799850984,0.414529114961624,0.360475808382034,0.341696411371231,0.0517025478184223,0.0135756991803646,0.167518064379692,0.0069047510623931,0.030219567939639,-0.0327859073877334,0,-0.115530423820019,0.0333079919219017,-0.253757029771805,389.347993375732,"False","False","False",24.0608329772949,-2.60083317756653,77,0.7,-2504012.44256797,6482742.43533934
