DSM,PSP,Species,aspect,evi_fall,evi_spring,evi_summer,mndwi_fall,mndwi_spring,mndwi_summer,nbr_fall,nbr_spring,nbr_summer,ndvi_fall,ndvi_spring,ndvi_summer,savi_fall,savi_spring,savi_summer,severity_high,severity_low,severity_moderate,severity_unburned,slope,tcb_fall,tcb_spring,tcb_summer,tcg_fall,tcg_spring,tcg_summer,tcw_fall,tcw_spring,tcw_summer,total_fires,vari_fall,vari_spring,vari_summer,Carbon_gm2,x,y,tsf_0_10,tsf_10_20,tsf_20_25,pr,tas,dep2_permafrost
288,10001,resin birch,302.56084594808306,0.2648332118988037,0.1327489465475082,0.4416549205780029,0.4797797501087188,0.5368425250053406,0.087205254,0.6061883568763733,0.6633928418159485,0.6639585494995117,0.2310545593500137,0.2030469179153442,0.7010008096694946,0.1577865779399871,0.092088185,0.3860119879245758,1,1,1,1,10.53739499271774,0.3989685475826263,0.2314902544021606,0.2926930487155914,0.037299179,0.014495157,0.1425979137420654,0.011802691,0.020273171,-0.046652228,0,-0.113211825,-0.022591718,-0.1596843,457.0092396967005,-1185664.431,7707376.997,FALSE,FALSE,FALSE,25.46750069,-4.309166431,18
288,10001,white spruce,302.56084594808306,0.2648332118988037,0.1327489465475082,0.4416549205780029,0.4797797501087188,0.5368425250053406,0.087205254,0.6061883568763733,0.6633928418159485,0.6639585494995117,0.2310545593500137,0.2030469179153442,0.7010008096694946,0.1577865779399871,0.092088185,0.3860119879245758,1,1,1,1,10.53739499271774,0.3989685475826263,0.2314902544021606,0.2926930487155914,0.037299179,0.014495157,0.1425979137420654,0.011802691,0.020273171,-0.046652228,0,-0.113211825,-0.022591718,-0.1596843,64.53683824142078,-1185664.431,7707376.997,FALSE,FALSE,FALSE,25.46750069,-4.309166431,18
283,10002,black spruce,298.69368565751574,0.242073044,0.1206261962652206,0.3750446438789367,0.5508085489273071,0.4546193182468414,0.08055158,0.6577335000038147,0.5805354118347168,0.6525563597679138,0.2062962800264358,0.2213540226221084,0.7013969421386719,0.1384508907794952,0.090213858,0.3514498472213745,1,1,1,1,17.367964657796932,0.3822710216045379,0.1793961524963379,0.2598344683647156,0.029512238,0.012656616,0.1196108013391494,0.027549339,0.008489427,-0.035898954,0,-0.08623632,-0.130558342,-0.122327119,8.324357999822057,-1185669.519,7707406.7231818605,FALSE,FALSE,FALSE,25.46750069,-4.309166431,18
283,10002,resin birch,298.69368565751574,0.242073044,0.1206261962652206,0.3750446438789367,0.5508085489273071,0.4546193182468414,0.08055158,0.6577335000038147,0.5805354118347168,0.6525563597679138,0.2062962800264358,0.2213540226221084,0.7013969421386719,0.1384508907794952,0.090213858,0.3514498472213745,1,1,1,1,17.367964657796932,0.3822710216045379,0.1793961524963379,0.2598344683647156,0.029512238,0.012656616,0.1196108013391494,0.027549339,0.008489427,-0.035898954,0,-0.08623632,-0.130558342,-0.122327119,409.29856555454177,-1185669.519,7707406.7231818605,FALSE,FALSE,FALSE,25.46750069,-4.309166431,18
283,10002,white spruce,298.69368565751574,0.242073044,0.1206261962652206,0.3750446438789367,0.5508085489273071,0.4546193182468414,0.08055158,0.6577335000038147,0.5805354118347168,0.6525563597679138,0.2062962800264358,0.2213540226221084,0.7013969421386719,0.1384508907794952,0.090213858,0.3514498472213745,1,1,1,1,17.367964657796932,0.3822710216045379,0.1793961524963379,0.2598344683647156,0.029512238,0.012656616,0.1196108013391494,0.027549339,0.008489427,-0.035898954,0,-0.08623632,-0.130558342,-0.122327119,39.87754930511407,-1185669.519,7707406.7231818605,FALSE,FALSE,FALSE,25.46750069,-4.309166431,18
282,10003,black spruce,299.58003860226273,0.21940732,0.1324307918548584,0.3414190113544464,0.4948317408561706,0.5394133925437927,0.1347067952156067,0.5942409038543701,0.6681385636329651,0.6548136472702026,0.1943086385726928,0.250808448,0.6383873224258423,0.1271802634000778,0.1004743874073028,0.325098455,1,1,1,1,15.131213710492949,0.3731466233730316,0.1710957288742065,0.2491794377565384,0.021038704,0.018032106,0.1103229448199272,0.018718421,0.013671159,-0.033898551,0,-0.116808519,-0.131877646,-0.109192207,0.8223705704594265,-1185714.298,7707405.077333825,FALSE,FALSE,FALSE,24.49416733,-2.500000238,18
282,10003,resin birch,299.58003860226273,0.21940732,0.1324307918548584,0.3414190113544464,0.4948317408561706,0.5394133925437927,0.1347067952156067,0.5942409038543701,0.6681385636329651,0.6548136472702026,0.1943086385726928,0.250808448,0.6383873224258423,0.1271802634000778,0.1004743874073028,0.325098455,1,1,1,1,15.131213710492949,0.3731466233730316,0.1710957288742065,0.2491794377565384,0.021038704,0.018032106,0.1103229448199272,0.018718421,0.013671159,-0.033898551,0,-0.116808519,-0.131877646,-0.109192207,409.2835228662217,-1185714.298,7707405.077333825,FALSE,FALSE,FALSE,24.49416733,-2.500000238,62
282,10003,white spruce,299.58003860226273,0.21940732,0.1324307918548584,0.3414190113544464,0.4948317408561706,0.5394133925437927,0.1347067952156067,0.5942409038543701,0.6681385636329651,0.6548136472702026,0.1943086385726928,0.250808448,0.6383873224258423,0.1271802634000778,0.1004743874073028,0.325098455,1,1,1,1,15.131213710492949,0.3731466233730316,0.1710957288742065,0.2491794377565384,0.021038704,0.018032106,0.1103229448199272,0.018718421,0.013671159,-0.033898551,0,-0.116808519,-0.131877646,-0.109192207,166.95517041091074,-1185714.298,7707405.077333825,FALSE,FALSE,FALSE,24.49416733,-2.500000238,62
190,10004,black cottonwood,154.79747665899222,0.2920189797878265,0.1892092078924179,0.3496806621551513,0.2340425550937652,0.592287004,0.044660106,0.7426100969314575,0.7209188938140869,0.7015399932861328,0.7054624557495117,0.2913034856319427,0.767067552,0.2793254852294922,0.1295876801013946,0.3501830697059631,1,1,1,1,5.267982831328912,0.1513047218322754,0.1915091276168823,0.1976367682218551,0.091372512,0.028330861,0.1217271983623504,-0.011445045,0.021601042,-0.028886881,0,-0.184503198,-0.161236987,-0.307630002,201.96294140792193,-1124514.037,7672836.039924591,FALSE,FALSE,FALSE,24.49416733,-2.500000238,62
190,10004,resin birch,154.79747665899222,0.2920189797878265,0.1892092078924179,0.3496806621551513,0.2340425550937652,0.592287004,0.044660106,0.7426100969314575,0.7209188938140869,0.7015399932861328,0.7054624557495117,0.2913034856319427,0.767067552,0.2793254852294922,0.1295876801013946,0.3501830697059631,1,1,1,1,5.267982831328912,0.1513047218322754,0.1915091276168823,0.1976367682218551,0.091372512,0.028330861,0.1217271983623504,-0.011445045,0.021601042,-0.028886881,0,-0.184503198,-0.161236987,-0.307630002,12.028651936727668,-1124514.037,7672836.039924591,FALSE,FALSE,FALSE,24.49416733,-2.500000238,62
190,10004,white spruce,154.79747665899222,0.2920189797878265,0.1892092078924179,0.3496806621551513,0.2340425550937652,0.592287004,0.044660106,0.7426100969314575,0.7209188938140869,0.7015399932861328,0.7054624557495117,0.2913034856319427,0.767067552,0.2793254852294922,0.1295876801013946,0.3501830697059631,1,1,1,1,5.267982831328912,0.1513047218322754,0.1915091276168823,0.1976367682218551,0.091372512,0.028330861,0.1217271983623504,-0.011445045,0.021601042,-0.028886881,0,-0.184503198,-0.161236987,-0.307630002,689.6849196616962,-1124514.037,7672836.039924591,FALSE,FALSE,FALSE,24.49416733,-2.500000238,62
192,10005,black cottonwood,0,0.2987531125545501,0.1907198429107666,0.3584024906158447,0.2142981439828872,0.5557699799537659,0.05019775,0.7204481959342957,0.6414693593978882,0.7015339732170105,0.7166606783866882,0.2945509552955627,0.7381069660186768,0.2930343449115753,0.1450360566377639,0.3501177728176117,1,1,1,1,3.818330560851536,0.1539053171873092,0.2088987380266189,0.2010276913642883,0.097209014,0.037244603,0.124879666,-0.014671402,0.017010372,-0.029619573,0,-0.190354377,-0.096889406,-0.335537642,280.7225284438341,-1124450.707,7672829.585,FALSE,FALSE,FALSE,24.49416733,-2.500000238,62
192,10005,resin birch,0,0.2987531125545501,0.1907198429107666,0.3584024906158447,0.2142981439828872,0.5557699799537659,0.05019775,0.7204481959342957,0.6414693593978882,0.7015339732170105,0.7166606783866882,0.2945509552955627,0.7381069660186768,0.2930343449115753,0.1450360566377639,0.3501177728176117,1,1,1,1,3.818330560851536,0.1539053171873092,0.2088987380266189,0.2010276913642883,0.097209014,0.037244603,0.124879666,-0.014671402,0.017010372,-0.029619573,0,-0.190354377,-0.096889406,-0.335537642,14.626194289367408,-1124450.707,7672829.585,FALSE,FALSE,FALSE,24.49416733,-2.500000238,77
