"","Bins","Count","Percent","Name"
"128",46000,1,0.201612903225806,"Historical"
"129",47100,1,0.201612903225806,"Historical"
"130",48100,1,0.201612903225806,"Historical"
"131",50700,1,0.201612903225806,"Historical"
"132",50900,1,0.201612903225806,"Historical"
"133",52600,1,0.201612903225806,"Historical"
"134",54100,1,0.201612903225806,"Historical"
"135",57000,1,0.201612903225806,"Historical"
"136",57100,1,0.201612903225806,"Historical"
"137",66600,1,0.201612903225806,"Historical"
"138",67200,1,0.201612903225806,"Historical"
"139",68600,1,0.201612903225806,"Historical"
"140",73900,1,0.201612903225806,"Historical"
"141",81700,1,0.201612903225806,"Historical"
"142",95300,1,0.201612903225806,"Historical"
"143",95900,1,0.201612903225806,"Historical"
"144",104400,1,0.201612903225806,"Historical"
"145",112500,1,0.201612903225806,"Historical"
"146",129500,1,0.201612903225806,"Historical"
"147",187000,1,0.201612903225806,"Historical"
"148",216400,1,0.201612903225806,"Historical"
"149",217900,1,0.201612903225806,"Historical"
